order_id,created_at,customer,country,status,amount,currency,notes
100000,2026-01-01T00:00:00.000Z,klient10,PL,pending,49.57,PLN,
100001,2026-01-01T00:02:17.000Z,klient879,DE,paid,559.22,EUR,Zamówienie 1
100002,2026-01-01T00:04:34.000Z,klient469,GB,shipped,324.42,USD,Zamówienie 2
100003,2026-01-01T00:06:51.000Z,klient419,US,delivered,191.94,PLN,Zamówienie 3
100004,2026-01-01T00:09:08.000Z,klient497,FR,pending,583.86,EUR,Zamówienie 4
100005,2026-01-01T00:11:25.000Z,klient232,PL,paid,124.76,USD,Zamówienie 5
100006,2026-01-01T00:13:42.000Z,klient687,DE,shipped,414.72,PLN,
100007,2026-01-01T00:15:59.000Z,klient177,GB,delivered,294.37,EUR,Zamówienie 7
100008,2026-01-01T00:18:16.000Z,klient263,US,pending,427.79,USD,Zamówienie 8
100009,2026-01-01T00:20:33.000Z,klient266,FR,paid,782.36,PLN,Zamówienie 9
100010,2026-01-01T00:22:50.000Z,klient222,PL,shipped,702.22,EUR,Zamówienie 10
100011,2026-01-01T00:25:07.000Z,klient171,DE,delivered,114.93,USD,Zamówienie 11
100012,2026-01-01T00:27:24.000Z,klient139,GB,pending,232.76,PLN,
100013,2026-01-01T00:29:41.000Z,klient493,US,paid,609.50,EUR,Zamówienie 13
100014,2026-01-01T00:31:58.000Z,klient67,FR,shipped,730.35,USD,Zamówienie 14
100015,2026-01-01T00:34:15.000Z,klient498,PL,delivered,497.30,PLN,Zamówienie 15
100016,2026-01-01T00:36:32.000Z,klient612,DE,pending,772.79,EUR,Zamówienie 16
100017,2026-01-01T00:38:49.000Z,klient561,GB,paid,736.96,USD,Zamówienie 17
100018,2026-01-01T00:41:06.000Z,klient744,US,shipped,31.98,PLN,
100019,2026-01-01T00:43:23.000Z,klient157,FR,delivered,285.58,EUR,Zamówienie 19
100020,2026-01-01T00:45:40.000Z,klient382,PL,pending,16.14,USD,Zamówienie 20
100021,2026-01-01T00:47:57.000Z,klient79,DE,paid,614.41,PLN,Zamówienie 21
100022,2026-01-01T00:50:14.000Z,klient332,GB,shipped,341.37,EUR,Zamówienie 22
100023,2026-01-01T00:52:31.000Z,klient421,US,delivered,756.98,USD,Zamówienie 23
100024,2026-01-01T00:54:48.000Z,klient632,FR,pending,550.64,PLN,
100025,2026-01-01T00:57:05.000Z,klient297,PL,paid,285.07,EUR,Zamówienie 25
100026,2026-01-01T00:59:22.000Z,klient124,DE,shipped,106.63,USD,Zamówienie 26
100027,2026-01-01T01:01:39.000Z,klient821,GB,delivered,257.94,PLN,Zamówienie 27
100028,2026-01-01T01:03:56.000Z,klient171,US,pending,505.77,EUR,Zamówienie 28
100029,2026-01-01T01:06:13.000Z,klient303,FR,paid,34.91,USD,Zamówienie 29
100030,2026-01-01T01:08:30.000Z,klient615,PL,shipped,737.10,PLN,
100031,2026-01-01T01:10:47.000Z,klient493,DE,delivered,661.26,EUR,Zamówienie 31
100032,2026-01-01T01:13:04.000Z,klient589,GB,pending,735.90,USD,Zamówienie 32
100033,2026-01-01T01:15:21.000Z,klient105,US,paid,423.94,PLN,Zamówienie 33
100034,2026-01-01T01:17:38.000Z,klient584,FR,shipped,712.85,EUR,Zamówienie 34
100035,2026-01-01T01:19:55.000Z,klient864,PL,delivered,670.37,USD,Zamówienie 35
100036,2026-01-01T01:22:12.000Z,klient534,DE,pending,771.10,PLN,
100037,2026-01-01T01:24:29.000Z,klient870,GB,paid,438.85,EUR,Zamówienie 37
100038,2026-01-01T01:26:46.000Z,klient736,US,shipped,4.56,USD,Zamówienie 38
100039,2026-01-01T01:29:03.000Z,klient464,FR,delivered,262.45,PLN,Zamówienie 39
100040,2026-01-01T01:31:20.000Z,klient651,PL,pending,439.60,EUR,Zamówienie 40
100041,2026-01-01T01:33:37.000Z,klient679,DE,paid,781.55,USD,Zamówienie 41
100042,2026-01-01T01:35:54.000Z,klient501,GB,shipped,658.53,PLN,
100043,2026-01-01T01:38:11.000Z,klient386,US,delivered,513.88,EUR,Zamówienie 43
100044,2026-01-01T01:40:28.000Z,klient664,FR,pending,441.36,USD,Zamówienie 44
100045,2026-01-01T01:42:45.000Z,klient281,PL,paid,189.47,PLN,Zamówienie 45
100046,2026-01-01T01:45:02.000Z,klient8,DE,shipped,19.26,EUR,Zamówienie 46
100047,2026-01-01T01:47:19.000Z,klient849,GB,delivered,666.70,USD,Zamówienie 47
100048,2026-01-01T01:49:36.000Z,klient567,US,pending,11.52,PLN,
100049,2026-01-01T01:51:53.000Z,klient557,FR,paid,475.92,EUR,Zamówienie 49
100050,2026-01-01T01:54:10.000Z,klient645,PL,shipped,795.89,USD,Zamówienie 50
100051,2026-01-01T01:56:27.000Z,klient250,DE,delivered,789.02,PLN,Zamówienie 51
100052,2026-01-01T01:58:44.000Z,klient584,GB,pending,643.93,EUR,Zamówienie 52
100053,2026-01-01T02:01:01.000Z,klient561,US,paid,664.11,USD,"Uwaga: ""pilne"", sprawdzić"
100054,2026-01-01T02:03:18.000Z,klient125,FR,shipped,795.36,PLN,
100055,2026-01-01T02:05:35.000Z,klient456,PL,delivered,453.51,EUR,Zamówienie 55
100056,2026-01-01T02:07:52.000Z,klient144,DE,pending,316.93,USD,Zamówienie 56
100057,2026-01-01T02:10:09.000Z,klient189,GB,paid,650.83,PLN,Zamówienie 57
100058,2026-01-01T02:12:26.000Z,klient775,US,shipped,588.74,EUR,Zamówienie 58
100059,2026-01-01T02:14:43.000Z,klient592,FR,delivered,792.19,USD,Zamówienie 59
100060,2026-01-01T02:17:00.000Z,klient548,PL,pending,589.16,PLN,
100061,2026-01-01T02:19:17.000Z,klient859,DE,paid,391.38,EUR,Zamówienie 61
100062,2026-01-01T02:21:34.000Z,klient206,GB,shipped,467.21,USD,Zamówienie 62
100063,2026-01-01T02:23:51.000Z,klient716,US,delivered,683.14,PLN,Zamówienie 63
100064,2026-01-01T02:26:08.000Z,klient170,FR,pending,443.92,EUR,Zamówienie 64
100065,2026-01-01T02:28:25.000Z,klient429,PL,paid,420.52,USD,Zamówienie 65
100066,2026-01-01T02:30:42.000Z,klient162,DE,shipped,200.51,PLN,
100067,2026-01-01T02:32:59.000Z,klient395,GB,delivered,382.01,EUR,Zamówienie 67
100068,2026-01-01T02:35:16.000Z,klient153,US,pending,2.57,USD,Zamówienie 68
100069,2026-01-01T02:37:33.000Z,klient155,FR,paid,19.28,PLN,Zamówienie 69
100070,2026-01-01T02:39:50.000Z,klient96,PL,shipped,701.04,EUR,Zamówienie 70
100071,2026-01-01T02:42:07.000Z,klient884,DE,delivered,48.10,USD,Zamówienie 71
100072,2026-01-01T02:44:24.000Z,klient157,GB,pending,324.03,PLN,
100073,2026-01-01T02:46:41.000Z,klient449,US,paid,585.87,EUR,Zamówienie 73
100074,2026-01-01T02:48:58.000Z,klient331,FR,shipped,288.01,USD,Zamówienie 74
100075,2026-01-01T02:51:15.000Z,klient712,PL,delivered,568.59,PLN,Zamówienie 75
100076,2026-01-01T02:53:32.000Z,klient720,DE,pending,423.99,EUR,Zamówienie 76
100077,2026-01-01T02:55:49.000Z,klient718,GB,paid,329.73,USD,Zamówienie 77
100078,2026-01-01T02:58:06.000Z,klient506,US,shipped,234.12,PLN,
100079,2026-01-01T03:00:23.000Z,klient474,FR,delivered,621.19,EUR,Zamówienie 79
100080,2026-01-01T03:02:40.000Z,klient72,PL,pending,201.76,USD,Zamówienie 80
100081,2026-01-01T03:04:57.000Z,klient744,DE,paid,661.90,PLN,Zamówienie 81
100082,2026-01-01T03:07:14.000Z,klient697,GB,shipped,343.86,EUR,Zamówienie 82
100083,2026-01-01T03:09:31.000Z,klient321,US,delivered,736.26,USD,Zamówienie 83
100084,2026-01-01T03:11:48.000Z,klient226,FR,pending,289.13,PLN,
100085,2026-01-01T03:14:05.000Z,klient429,PL,paid,664.25,EUR,Zamówienie 85
100086,2026-01-01T03:16:22.000Z,klient363,DE,shipped,779.65,USD,Zamówienie 86
100087,2026-01-01T03:18:39.000Z,klient496,GB,delivered,349.05,PLN,Zamówienie 87
